#{"t_start": 1774803535.6618693, "env_id": "None"}
r,l,t
-2.14089,9,15.959849
-3.94994,10,15.976146
1.484647,10,15.989858
-3.360354,8,16.006125
10.340223,12,16.023124
-6.035074,11,16.028633
-5.810893,9,16.038942
14.932623,11,16.060651
4.20311,11,16.078528
0.030564,11,16.095411
-8.416581,8,16.108923
5.016367,10,16.129348
-7.144798,9,16.141881
-5.015199,10,16.156921
0.060136,10,16.175489
-1.615152,9,16.188503
2.967305,10,16.206669
19.839101,9,16.221048
-5.628591,9,16.232615
-4.643012,9,16.246202
18.418343,11,16.261211
-5.716878,8,16.274897
-7.303025,10,16.289476
-4.756529,10,16.302177
7.038591,10,16.315662
-4.83081,12,16.330585
18.885985,9,16.340775
-2.559261,12,16.35912
-0.030268,9,16.372311
16.649518,8,16.382857
5.509211,11,16.400387
5.705879,9,16.412506
-4.381671,9,16.425968
14.808239,10,16.43855
-1.343563,11,16.450724
16.659543,9,16.462423
0.255117,8,16.463005
4.355403,13,16.478807
-3.086877,9,16.494255
4.864086,9,16.512389
13.99225,11,16.521461
-2.47872,11,16.537256
2.490445,10,16.550337
7.258664,10,16.559324
1.930376,9,16.569321
-1.712836,9,16.585293
6.322782,10,16.597981
-2.14422,10,16.611325
-11.004902,7,16.619206
20.358086,8,16.628669
20.510019,11,16.640316
-2.214113,10,16.652213
-4.402779,10,16.659003
0.583545,9,16.676622
18.74748,10,16.689169
3.93029,9,16.700121
-6.099403,9,16.709155
5.13218,9,16.728727
-1.523495,12,16.743454
-6.238696,7,16.752549
-0.944828,10,16.765819
2.294868,8,16.775858
-2.031215,11,16.791857
0.649042,9,16.804958
16.574808,10,16.80904
-12.83555,9,16.828925
-7.509474,8,16.8383
3.656849,10,16.850379
2.491561,10,16.871795
-1.877303,7,16.881218
-5.576377,11,16.890708
3.424338,8,16.909355
11.122817,8,16.923388
-3.538379,9,16.934948
4.827798,9,16.947807
16.64948,9,16.962368
1.170024,12,16.98053
0.98369,10,16.998887
19.904799,10,17.010521
5.800218,9,17.028721
3.087825,8,17.038288
-7.484139,11,17.055376
2.895003,9,17.059033
-4.300182,10,17.078533
0.423074,9,17.092562
-4.891521,9,17.111174
6.610738,10,17.124781
-3.916656,9,17.137967
15.532168,12,17.152373
19.827982,10,17.1662
16.631822,10,17.178776
-10.159186,7,17.185386
-8.812991,9,17.198786
-3.308295,10,17.211096
19.069164,10,17.227615
-0.577192,10,17.237403
3.304518,9,17.252698
2.966358,10,17.268343
18.777839,10,17.280708
-2.331884,10,17.292011
-2.045401,9,17.304336
-1.520166,6,17.311378
7.097061,11,17.327322
13.97348,10,17.335484
14.455078,10,17.352223
-5.549338,9,17.372004
-6.040048,11,17.392416
5.177954,8,17.402358
3.310024,11,17.418178
-1.24121,8,17.427976
-2.86887,10,17.439701
16.49829,8,17.446521
8.902559,11,17.45906
18.722215,10,17.462694
1.568271,12,17.484833
6.361907,10,17.498743
-0.066849,9,17.509797
0.054302,7,17.519888
3.075057,11,17.528809
3.587369,12,17.543816
11.918787,10,17.557123
-0.279402,9,17.568692
-0.335499,10,17.578799
-1.917611,10,17.584468
-0.85561,10,17.604872
10.746182,10,17.620412
2.285218,7,17.628435
0.533266,9,17.63701
5.055331,9,17.648175
-6.776398,8,17.656873
-0.726703,10,17.671941
-10.638528,11,17.684806
-6.161846,11,17.699012
-5.816412,11,17.711365
16.039213,11,17.726421
-10.40916,9,17.73564
14.533449,8,17.753032
10.291177,8,17.762944
3.763058,8,17.773154
3.276379,11,17.791425
3.50953,11,17.807065
1.60106,8,17.816926
4.749486,12,17.834605
-0.19053,10,17.837817
-6.244793,11,17.858942
-2.212774,11,17.869369
0.517975,9,17.884858
12.404646,8,17.894756
-5.618352,10,17.904232
-10.242352,9,17.909087
16.205632,10,17.928573
-4.544623,8,17.943271
-6.558881,12,17.961224
16.271371,10,17.978469
35.875807,11,17.995994
-0.100144,9,18.01255
16.505613,7,18.021726
11.72139,10,18.035041
-7.14338,9,18.04995
-0.426213,8,18.061189
0.475465,11,18.0787
4.308037,10,18.093636
-1.813986,9,18.107224
2.768716,8,18.119058
18.187445,10,18.133928
-2.693043,10,18.1501
-4.338068,9,18.165437
15.060093,9,18.178648
17.877282,10,18.192014
15.244416,12,18.208925
-5.384741,11,18.225681
-0.03763,8,18.239201
15.113006,10,18.252442
-8.242383,10,18.25919
-9.605319,11,18.278741
-10.242877,10,18.294819
14.779804,13,18.313273
1.049339,9,18.319409
-7.518402,12,18.347456
1.987394,10,18.359357
-2.681713,9,18.380602
-0.218034,10,18.39332
-8.459345,8,18.402141
17.341866,11,18.409408
-1.561826,11,18.434206
-0.445166,12,18.450034
0.305633,7,18.461148
3.037598,10,18.46879
-7.923174,7,18.480465
23.047143,12,18.502064
-2.189304,9,18.511671
-4.548978,10,18.527294
-5.983939,11,18.54176
5.185727,11,18.559312
-5.929537,10,18.569449
-2.547493,8,20.047508
-0.825807,10,20.059301
3.597112,9,20.071893
-0.185999,7,20.0786
3.185187,10,20.099891
9.458692,10,20.109168
4.740094,9,20.126493
0.4158,12,20.144181
-0.364973,9,20.159359
3.589735,8,20.171087
2.043758,8,20.183479
-1.059053,10,20.195541
-7.367829,11,20.213229
-3.059891,8,20.221127
-1.351015,10,20.234939
-2.824265,11,20.250185
19.055948,11,20.258976
-1.39687,9,20.26938
-11.530642,9,20.285381
-0.678193,12,20.300284
9.551153,11,20.320173
0.216711,10,20.348902
-2.941364,9,20.370433
-5.621126,10,20.395309
14.329047,11,20.412187
-2.134286,11,20.430892
18.344084,9,20.439069
4.101831,10,20.446804
1.459478,7,20.454867
27.078399,8,20.462942
-8.672006,11,20.471069
4.441514,9,20.482923
20.888426,10,20.487015
-1.364126,9,20.504038
-5.645938,8,20.509169
15.964907,11,20.522262
-9.162302,9,20.530793
9.080255,10,20.541905
16.72574,10,20.558887
2.718953,12,20.571222
3.59513,10,20.583394
12.968532,9,20.593617
-13.007269,13,20.611303
-7.273232,11,20.621366
0.543898,10,20.631279
15.114086,10,20.646333
5.332249,9,20.659115
5.068643,9,20.662752
-8.082622,10,20.670691
2.227183,10,20.687404
4.252914,8,20.697431
-1.315196,11,20.707213
-9.243683,8,20.715247
-0.643629,8,20.72095
