deliveries_completed,fuel_used,steps_taken,reward
1,19.09086259491422,11,1.9378027290634634
1,17.249442872567048,11,-0.1999097138285162
1,16.674282820335893,12,2.907606291394604
1,18.00050978998017,11,3.5468380095568683
0,18.422488691877856,12,-4.872765571223585
1,19.137915153131164,11,0.11124305811507362
1,19.41348005127326,12,-0.23579672966333654
1,18.350620021276114,17,-0.27395945119963194
1,18.311714577645482,13,-0.970068906836568
1,18.744304205133954,13,-0.6756055297537955
0,19.206584481508777,13,-5.079320735059983
0,19.229939051591124,14,-7.945869754441312
1,19.217301738915197,13,-5.060627622963541
0,18.089546945471135,13,-5.053403419083123
1,17.614873588813467,10,1.2135472145468427
0,17.614695287366057,11,-8.105918253272616
1,17.635169904213384,11,0.9975855605066428
0,17.857056124026364,11,-6.130154336938647
1,18.9763789578035,11,1.3634646551476273
1,18.486541729537997,11,-1.5875516220258188
0,17.451171657540243,10,-5.139565890290035
0,18.889086643748904,12,-4.419425366410691
1,19.253629931490465,11,1.3357395577789326
0,19.51596733031028,11,-5.710259019940134
0,19.36697857177819,11,-5.195360144086925
1,18.711214851901584,12,0.4399810657378218
1,18.84450425816927,9,2.8624385627379567
0,19.625619404081828,12,-5.757010664944193
1,17.970097524691933,12,-3.985907201541214
1,18.813634879727097,13,2.979739062955268
0,18.261260827493874,10,-5.4566427847851875
0,17.974634599492887,11,-5.6419121844852995
0,18.527193157098072,9,-4.797168040245818
1,18.203887466215264,11,1.7784361441380714
1,17.90793225332793,11,0.23424134809539687
1,18.432975241324606,12,3.553591464422425
0,18.99863501200687,11,-4.15852578810979
1,19.50658690344394,11,1.8104438605835842
0,19.577604742735918,12,-8.080636323555792
1,19.354487142439567,11,3.3256538366840243
0,18.2626645190425,12,-7.226266451904248
1,19.466019557205765,14,4.964500595207403
0,19.825695596545813,11,-4.241231846563685
1,18.624459015504076,11,0.8986566493775712
1,18.76377647776269,11,0.7791736276877206
1,18.248582466099002,12,4.9862443043180775
1,18.269635597387655,13,-0.3800745711838811
1,18.591164553251552,11,-1.5980139043971757
0,18.83716198296079,15,-5.028164922832088
1,19.710636817999784,12,3.1039708916282116
0,19.00294927968296,12,-5.694743652504306
1,18.975207147756535,10,3.3135818361523253
0,18.213657906011967,12,-8.530028077510302
1,18.77425676481857,11,1.221399214277744
1,19.624376450141515,15,-4.415548656459268
2,19.34657833681813,12,7.876444717246162
1,18.60692877953949,9,2.886196110600933
